id,title,author,year,page
75, Lolita, Vladimir Nabokov, 1955, 336 halaman
76, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
77, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
78, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
79, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
80, The Secret History, Donna Tartt, 1992, 559 halaman
81, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
82, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
83, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
84, The Metamorphosis, Franz Kafka, 1915, 55 halaman
85, Middlemarch, George Eliot, 1871-1872, 800 halaman
86, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
87, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
88, The Color Purple, Alice Walker, 1982, 288 halaman
89, Beloved, Toni Morrison, 1987, 324 halaman
90, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
91, The Martian, Andy Weir, 27 September 2012, 384 halaman
92, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
93, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
94, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
95, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
96, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
97, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
98, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
99, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
100, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
101, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
102, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
103, The Metamorphosis, Franz Kafka, 1915, 55 halaman
104, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
105, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
106, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
107, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
108, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
109, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
110, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
111, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
112, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 (edisi paperback 2004)
113, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 (edisi pertama, hardback)
114, 1984, George Orwell, 8 Juni 1949, 328 halaman
115, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
116, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
117, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
118, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
119, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
120, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
121, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
122, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
123, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
124, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
125, The Alchemist, Paulo Coelho, 1988, 208 halaman
126, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
127, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
128, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
129, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
130, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
131, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
132, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
133, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
134, War and Peace, Leo Tolstoy, 1869, 1225 halaman
135, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
136, Little Women, Louisa May Alcott, 1868, 759 halaman
137, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
138, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
139, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
140, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
141, The Giver, Lois Lowry, 1993, 240 halaman
142, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
143, The Shining, Stephen King, 28 Januari 1977, 447 halaman
144, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
145, The Outsiders, S.E. Hinton, 1967, 192 halaman
146, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
147, The Book Thief, Markus Zusak, 2005, 584 halaman
148, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
149, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
150, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
151, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
152, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
153, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
154, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
155, The Trial, Franz Kafka, 26 April 1925, 255 halaman
156, Lolita, Vladimir Nabokov, 1955, 336 halaman
157, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
158, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
159, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
160, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
161, The Secret History, Donna Tartt, 1992, 559 halaman
162, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
163, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
164, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
165, The Metamorphosis, Franz Kafka, 1915, 55 halaman
166, Middlemarch, George Eliot, 1871-1872, 800 halaman
167, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
168, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
169, The Color Purple, Alice Walker, 1982, 288 halaman
170, Beloved, Toni Morrison, 1987, 324 halaman
171, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
172, The Martian, Andy Weir, 27 September 2012, 384 halaman
173, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
174, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
175, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
176, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
177, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
178, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
179, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
180, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
181, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
182, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
183, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
184, The Metamorphosis, Franz Kafka, 1915, 55 halaman
185, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
186, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
187, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
188, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
189, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
190, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
191, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
192, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
193, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
194, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
195, 1984, George Orwell, 8 Juni 1949, 328 halaman
196, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
197, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
198, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
199, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
200, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
201, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
202, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
203, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
204, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
205, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
206, The Alchemist, Paulo Coelho, 1988, 208 halaman
207, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
208, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
209, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
210, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
211, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
212, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
213, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
214, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
215, War and Peace, Leo Tolstoy, 1869, 1225 halaman
216, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
217, Little Women, Louisa May Alcott, 1868, 759 halaman
218, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
219, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
220, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
221, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
222, The Giver, Lois Lowry, 1993, 240 halaman
223, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
224, The Shining, Stephen King, 28 Januari 1977, 447 halaman
225, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
226, The Outsiders, S.E. Hinton, 1967, 192 halaman
227, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
228, The Book Thief, Markus Zusak, 2005, 584 halaman
229, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
230, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
231, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
232, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
233, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
234, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
235, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
236, The Trial, Franz Kafka, 26 April 1925, 255 halaman
237, Lolita, Vladimir Nabokov, 1955, 336 halaman
238, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
239, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
240, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
241, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
242, The Secret History, Donna Tartt, 1992, 559 halaman
243, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
244, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
245, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
246, The Metamorphosis, Franz Kafka, 1915, 55 halaman
247, Middlemarch, George Eliot, 1871-1872, 800 halaman
248, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
249, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
250, The Color Purple, Alice Walker, 1982, 288 halaman
251, Beloved, Toni Morrison, 1987, 324 halaman
252, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
253, The Martian, Andy Weir, 27 September 2012, 384 halaman
254, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
255, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
256, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
257, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
258, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
259, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
260, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
261, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
262, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
263, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
264, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
265, The Metamorphosis, Franz Kafka, 1915, 55 halaman
266, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
267, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
268, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
269, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
270, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
271, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
272, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
273, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
274, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
275, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
276, 1984, George Orwell, 8 Juni 1949, 328 halaman
277, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
278, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
279, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
280, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
281, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
282, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
283, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
284, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
285, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
286, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
287, The Alchemist, Paulo Coelho, 1988, 208 halaman
288, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
289, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
290, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
291, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
292, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
293, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
294, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
295, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
296, War and Peace, Leo Tolstoy, 1869, 1225 halaman
297, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
298, Little Women, Louisa May Alcott, 1868, 759 halaman
299, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
300, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
301, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
302, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
303, The Giver, Lois Lowry, 1993, 240 halaman
304, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
305, The Shining, Stephen King, 28 Januari 1977, 447 halaman
306, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
307, The Outsiders, S.E. Hinton, 1967, 192 halaman
308, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
309, The Book Thief, Markus Zusak, 2005, 584 halaman
310, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
311, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
312, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
313, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
314, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
315, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
316, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
317, The Trial, Franz Kafka, 26 April 1925, 255 halaman
318, Lolita, Vladimir Nabokov, 1955, 336 halaman
319, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
320, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
321, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
322, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
323, The Secret History, Donna Tartt, 1992, 559 halaman
324, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
325, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
326, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
327, The Metamorphosis, Franz Kafka, 1915, 55 halaman
328, Middlemarch, George Eliot, 1871-1872, 800 halaman
329, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
330, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
331, The Color Purple, Alice Walker, 1982, 288 halaman
332, Beloved, Toni Morrison, 1987, 324 halaman
333, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
334, The Martian, Andy Weir, 27 September 2012, 384 halaman
335, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
336, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
337, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
338, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
339, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
340, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
341, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
342, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
343, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
344, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
345, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
346, The Metamorphosis, Franz Kafka, 1915, 55 halaman
347, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
348, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
349, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
350, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
351, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
352, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
353, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
354, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
355, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
356, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
357, 1984, George Orwell, 8 Juni 1949, 328 halaman
358, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
359, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
360, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
361, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
362, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
363, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
364, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
