id,title,author,publisher,year,page,BookContents
14, Lelaki Harimau, Eka Kurniawan, Gramedia Pustaka Utama, 2004, 472 halaman, Novel yang menggabungkan mitologi dan realitas sosial dalam sebuah kisah mistis dan penuh misteri.
15, Cantik Itu Luka, Eka Kurniawan, Gramedia Pustaka Utama, 2002, 526 halaman, Melalui sudut pandang dua generasi, novel ini mengisahkan perjuangan dan tragedi dalam sejarah Indonesia.
16, Lautan Hidup, Habiburrahman El Shirazy, Republika, 2017, 290 halaman, Novel yang mengisahkan perjalanan spiritual seorang tokoh dalam mencari makna kehidupan.
17, Raden Mandasia Si Pencuri Daging Sapi, Yusi Avianto Pareanom, Gramedia Pustaka Utama, 2001, 100 halaman, Cerita komedi tentang kehidupan seorang pria miskin yang mencuri daging sapi.
18, Ayat-ayat Cinta 2, Habiburrahman El Shirazy, Republika, 2016, 412 halaman, Melanjutkan kisah cinta Fahri dalam menjalani kehidupan rumah tangga dan tantangan yang dihadapinya.
19, Supernova: Petir, Dee Lestari, Bentang Pustaka, 2004, 436 halaman, Bagian dari seri Supernova yang menggambarkan kehidupan modern, teknologi, dan pengaruhnya terhadap hubungan manusia.
20, Negeri Van Oranje, Wahyuningrat, Bentang Pustaka, 2008, 364 halaman, Kisah persahabatan dan kehidupan empat mahasiswa Indonesia di Belanda.
21, Jejak Langkah, Pramoedya Ananta Toer, Hasta Mitra, 1985, 402 halaman, Novel sejarah yang menggambarkan perjuangan dan transformasi sosial di Indonesia pada awal abad ke-20.
22, Perahu Kertas 2.5, Dee Lestari, Bentang Pustaka, 2014, 180 halaman, Lanjutan kisah cinta Kugy dan Keenan dari novel Perahu Kertas.
23, Lelaki Terindah, Andrei Aksana, Gagas Media, 2017, 368 halaman, Novel tentang persahabatan, cinta, dan perjalanan hidup seorang pemuda yang bernama Rio.
24, Sepotong Senja untuk Pacarku, Seno Gumira Ajidarma, Yayasan Bentang Budaya, 1998, 192 halaman, Kumpulan cerita pendek yang menggambarkan kisah-kisah cinta dan kehidupan sehari-hari.
25, Si Parasit Lajang, Ayu Utami, Kepustakaan Populer Gramedia, 2005, 412 halaman, Novel yang menyoroti kehidupan perkotaan, seksualitas, dan perjuangan para perempuan.
26, Bumi Manusia, Pramoedya Ananta Toer, Lentera Dipantara, 1980, 536 halaman, Bagian pertama dari tetralogi Buru Quartet yang menggambarkan perjuangan melawan penjajahan dan ketidakadilan.
27, Filosofi Kopi: Kumpulan Cerita dan Prosa Satu Dekade, Dewi Lestari, Bentang Pustaka, 2015, 416 halaman, Kumpulan cerita pendek dan prosa dari penulis yang terinspirasi oleh kopi.
28, Ronggeng Dukuh Paruk: Kisah Ronggeng Dukuh Paruk, Ahmad Tohari, Gramedia Pustaka Utama, 1982, 372 halaman, Kisah perjuangan seorang ronggeng di desa Dukuh Paruk yang mempertaruhkan harga dirinya.
29, Cinta di Dalam Gelas, Andrea Hirata, Bentang Pustaka, 2011, 362 halaman, Novel yang mengisahkan perjalanan seorang pemuda mencari arti cinta sejati melalui perjalanan spiritual.
30, Pulang: Sebuah Pesta Lupa, Leila S. Chudori, Kepustakaan Populer Gramedia, 2018, 460 halaman, Melanjutkan kisah dari novel Laut Bercerita yang mengisahkan perjalanan seorang jurnalis dalam menemukan kebenaran masa lalu.
31, Supernova: Gelombang, Dee Lestari, Bentang Pustaka, 2001, 406 halaman, Bagian dari seri Supernova yang menggambarkan perjuangan dan dinamika kelompok musik dalam mencapai kesuksesan.
32, Negeri Senja, Asma Nadia, Republika, 2013, 294 halaman, Kisah cinta dan perjalanan seorang perempuan dalam menemukan arti hidupnya.
33, Cinta Brontosaurus, Raditya Dika, Gagas Media, 2011, 352 halaman, Kumpulan cerita humor tentang pengalaman pribadi penulis dalam menjalani hubungan percintaan.
34, Larasati, Pramoedya Ananta Toer, Hasta Mitra, 1987, 270 halaman, Novel yang mengisahkan tentang cinta, perjuangan, dan perubahan sosial di tengah-tengah kehidupan masyarakat.
35, Perempuan Berkalung Sorban, Abidah El Khalieqy, Gramedia Pustaka Utama, 2001, 404 halaman, Mengisahkan kisah perjuangan seorang perempuan dalam mengejar impian dan meraih kebebasannya.
36, Ayah, Andrei Aksana, Gagas Media, 2015, 400 halaman, Novel yang mengangkat tema hubungan ayah-anak dan perjuangan seorang anak untuk mengenal ayahnya.
37, Laskar Pelangi: Edensor, Andrea Hirata, Bentang Pustaka, 2007, 368 halaman, Lanjutan dari novel Laskar Pelangi yang mengisahkan petualangan Ikal di Inggris.
38, Namaku Hiroko, Nh. Dini, Hasta Mitra, 1978, 200 halaman, Novel yang mengisahkan perjalanan seorang perempuan Jepang yang menetap di Indonesia pada masa perang.
39, Supernova: Kesatria, Puteri, dan Bintang Jatuh (Special Edition), Dee Lestari, Bentang Pustaka, 2016, 668 halaman, Edisi spesial dari novel Supernova yang menggabungkan tiga buku pertama dalam satu volume.
40, Pulang: Insan Tanpa Kepala, Leila S. Chudori, Kepustakaan Populer Gramedia, 2018, 504 halaman, Melanjutkan kisah dari novel Pulang yang mengisahkan perjuangan seorang perempuan dalam mencari keberadaan ayahnya.
41, Lima Sekawan: Rahasia Pintu Terlarang, Enid Blyton, Gramedia Pustaka Utama, 2000, 184 halaman, Petualangan lima anak muda dalam memecahkan misteri di sekitar Pintu Terlarang.
42, Surat dari Pusaran, Nukila Amal, Gramedia Pustaka Utama, 2004, 396 halaman, Novel yang mengeksplorasi tema cinta, kehilangan, dan pembersihan jiwa.
43, Habibie & Ainun, Bacharuddin Jusuf Habibie, Mizan Pustaka, 2010, 286 halaman, Kisah cinta dan perjalanan hidup pasangan Presiden BJ Habibie dan Ainun Habibie.
44, Laut Bercerita: Sekumpulan Cerita Pendek, Leila S. Chudori, Kepustakaan Populer Gramedia, 2012, 328 halaman, Kumpulan cerita pendek yang menggambarkan kehidupan dan sejarah Indonesia.
45, Padang Bulan dan Nyanyian Malam, Andrea Hirata, Bentang Pustaka, 2019, 346 halaman, Novel yang menggambarkan perjalanan seorang anak desa dalam mengejar impian dan menghadapi tantangan.
46, Laskar Pelangi: Museum Kata Andrea Hirata, Andrea Hirata, Bentang Pustaka, 2011, 392 halaman, Buku pengiring yang berisi kumpulan tulisan, esai, dan cerita dari penulis tentang Laskar Pelangi.
47, Lima Sekawan: Rahasia Hantu, Enid Blyton, Gramedia Pustaka Utama, 2001, 200 halaman, Petualangan kelima anak muda dalam memecahkan misteri kehadiran hantu di sekitar mereka.
48, Jejak Kupu-kupu, Agnes Jessica, Gramedia Pustaka Utama, 2014, 402 halaman, Kisah tentang persahabatan, cinta, dan perjalanan hidup seorang perempuan.
49, Aroma Karsa, Dee Lestari, Bentang Pustaka, 2018, 376 halaman, Novel yang mengangkat tema musik, cinta, dan perjalanan spiritual.
50, Rindu, Tere Liye, Gramedia Pustaka Utama, 2016, 416 halaman, Novel yang mengeksplorasi tema cinta, persahabatan, dan perjuangan dalam menghadapi tantangan kehidupan.


